timestamp,event_wallclock,event,actor,actor_team,actor_latency_ms,actor_steamid,actor_steam_name,actor_ip,actor_is_bot,target,target_team,target_latency_ms,target_steamid,target_steam_name,target_ip,target_is_bot,source,value,unit,hp_before,hp_after
00:17:28.533,2026-04-07 15:11:07.614,hit,neutral_giant_wolf,,,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,5,damage,1020,1015
00:17:28.566,2026-04-07 15:11:07.647,hit,neutral_giant_wolf,,,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,14,damage,1015,1001
00:17:28.666,2026-04-07 15:11:07.747,hit,neutral_alpha_wolf,,,,,,,dragon_knight,RADIANT,,,,,,dota_unknown,24,damage,1002,978
00:17:29.033,2026-04-07 15:11:08.114,hit,dragon_knight,RADIANT,,,,,,neutral_giant_wolf,,,,,,,dota_unknown,31,damage,193,162
00:17:29.100,2026-04-07 15:11:08.181,hit,drow_ranger,DIRE,40,76561198754834110,phamquanghuy3678445,172.19.66.176,false,creep_goodguys_flagbearer,RADIANT,,,,,,drow_ranger_multishot,90,damage,562,472
00:17:29.133,2026-04-07 15:11:08.214,hit,drow_ranger,DIRE,40,76561198754834110,phamquanghuy3678445,172.19.66.176,false,creep_goodguys_melee,RADIANT,,,,,,drow_ranger_multishot,90,damage,230,140
00:17:29.266,2026-04-07 15:11:08.347,hit,sniper,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,36,damage,1387,1351
00:17:29.266,2026-04-07 15:11:08.347,hit,drow_ranger,DIRE,40,76561198754834110,phamquanghuy3678445,172.19.66.176,false,creep_goodguys_melee,RADIANT,,,,,,drow_ranger_multishot,90,damage,562,472
00:17:29.666,2026-04-07 15:11:08.747,hit,goodguys_siege,RADIANT,,,,,,badguys_tower2_top,DIRE,40,,,,,dota_unknown,54,damage,1351,1297
00:17:29.666,2026-04-07 15:11:08.747,hit,drow_ranger,DIRE,40,76561198754834110,phamquanghuy3678445,172.19.66.176,false,creep_goodguys_flagbearer,RADIANT,,,,,,drow_ranger_multishot,90,damage,474,384
00:17:29.700,2026-04-07 15:11:08.781,hit,drow_ranger,DIRE,40,76561198754834110,phamquanghuy3678445,172.19.66.176,false,creep_goodguys_melee,RADIANT,,,,,,drow_ranger_multishot,90,damage,105,15
00:17:29.833,2026-04-07 15:11:08.914,hit,drow_ranger,DIRE,40,76561198754834110,phamquanghuy3678445,172.19.66.176,false,creep_goodguys_melee,RADIANT,,,,,,drow_ranger_multishot,90,damage,474,384
00:17:29.866,2026-04-07 15:11:08.947,kill,creep_badguys_ranged,DIRE,40,,,,,creep_goodguys_melee,RADIANT,,,,,,,,,,
